DATE,PCEPI
2020-01-01,111.002
2020-02-01,111.071
2020-03-01,110.802
2020-04-01,110.213
2020-05-01,110.385
2020-06-01,110.918
2020-07-01,111.221
2020-08-01,111.563
2020-09-01,111.736
2020-10-01,111.775
2020-11-01,111.79
2020-12-01,112.22
2021-01-01,112.57
2021-02-01,112.878
2021-03-01,113.518
2021-04-01,114.161
2021-05-01,114.767
2021-06-01,115.388
2021-07-01,115.847
2021-08-01,116.29
2021-09-01,116.693
2021-10-01,117.429
2021-11-01,118.106
2021-12-01,118.709
2022-01-01,119.307
2022-02-01,119.945
2022-03-01,121.024
2022-04-01,121.323
